entity_id,entity_type,canonical_name,alias_text,manufacturer_scope,status
brand-kito,BRAND,KITO,KITO,,APPROVED
brand-kito,BRAND,KITO,Kito Corporation,,APPROVED
model-cb005,PRODUCT_MODEL,CB005,CB005,KITO,APPROVED
model-cb005,PRODUCT_MODEL,CB005,CB-005,KITO,APPROVED
model-cb010,PRODUCT_MODEL,CB010,CB010,KITO,APPROVED
model-cb010,PRODUCT_MODEL,CB010,CB-010,KITO,APPROVED
model-cb020,PRODUCT_MODEL,CB020,CB020,KITO,APPROVED
model-cb020,PRODUCT_MODEL,CB020,CB-020,KITO,APPROVED
model-cb030,PRODUCT_MODEL,CB030,CB030,KITO,APPROVED
model-cb030,PRODUCT_MODEL,CB030,CB-030,KITO,APPROVED
model-cb050,PRODUCT_MODEL,CB050,CB050,KITO,APPROVED
model-cb050,PRODUCT_MODEL,CB050,CB-050,KITO,APPROVED
family-hand-chain-hoist,PRODUCT_FAMILY,Hand chain hoist,hand chain hoist,,APPROVED
family-hand-chain-hoist,PRODUCT_FAMILY,Hand chain hoist,chain block,,APPROVED
